method,dataset,sample_id,loss,perplexity,latency,depth,layer_reduction,configuration,attention_mode,ffn_mode,confidence,rollback,executed_depth,relative_flops,active_parameters,sequence_length,proposed_configuration,fallback_applied,stability_status,volatility,stability_score,answer_loss,correct,question,variant,latency_seconds
static,short_qa,29,4.191492557525635,66.12140735093166,0.02408290001039859,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,7.074307441711426,False,What is 100 divided by 4?,static,0.02408290001039859
static,short_qa,30,3.739806652069092,42.08985139253587,0.022194100005435757,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,7.075189590454102,False,What is the square root of 81?,static,0.022194100005435757
static,short_qa,31,5.38632869720459,218.40009900813308,0.021348399997805245,12,0.0,deep,full,full,,False,12,1.0,85054464,11,deep,False,,,,10.650398254394531,False,What is 7 squared?,static,0.021348399997805245
static,short_qa,32,4.017505645751953,55.562340673527856,0.021004300011554733,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,5.78031063079834,False,Who wrote the play Romeo and Juliet?,static,0.021004300011554733
static,short_qa,33,3.5019757747650146,33.18094531175603,0.022158499996294267,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,1.865394115447998,True,Who developed the theory of relativity?,static,0.022158499996294267
static,short_qa,34,2.9909424781799316,19.904433148060416,0.022501400002511218,12,0.0,deep,full,full,,False,12,1.0,85054464,17,deep,False,,,,8.760619163513184,False,Who was the first person to walk on the Moon?,static,0.022501400002511218
static,short_qa,35,4.029021263122559,56.20587355663399,0.027525600002263673,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,6.7418107986450195,False,Who painted the Mona Lisa?,static,0.027525600002263673
static,short_qa,36,3.816342830657959,45.437730612447005,0.02906760000041686,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,7.607057571411133,False,What is the largest ocean on Earth?,static,0.02906760000041686
static,short_qa,37,3.8228507041931152,45.734397906566016,0.024415000007138588,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,5.560550689697266,True,What is the longest river in Africa?,static,0.024415000007138588
static,short_qa,38,3.0583536624908447,21.292473692232804,0.022529299996676855,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,4.579861164093018,False,What is the tallest mountain in the world?,static,0.022529299996676855
static,short_qa,39,3.4146180152893066,30.405332836759218,0.02410769999551121,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,7.256793975830078,False,What is the largest desert in the world?,static,0.02410769999551121
static,short_qa,40,4.23588752746582,69.12300007839347,0.020195500008412637,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,4.033200263977051,False,What language is primarily spoken in Brazil?,static,0.020195500008412637
static,short_qa,41,4.306650638580322,74.1915779178095,0.021621299994876608,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,3.979773759841919,False,What language is primarily spoken in Austria?,static,0.021621299994876608
static,short_qa,42,3.9229342937469482,50.54855167632623,0.023397500001010485,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,3.8320600986480713,True,What currency is used in Japan?,static,0.023397500001010485
static,short_qa,43,3.8720145225524902,48.03906444647741,0.022577700001420453,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,4.733711242675781,True,What currency is used in the United Kingdom?,static,0.022577700001420453
static,short_qa,44,3.529487371444702,34.10647917745413,0.021242699993308634,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,3.5526986122131348,False,What is the currency of India?,static,0.021242699993308634
static,short_qa,45,3.297776460647583,27.052419875589052,0.024101400005747564,12,0.0,deep,full,full,,False,12,1.0,85054464,16,deep,False,,,,3.7831573486328125,False,In which country is the Eiffel Tower?,static,0.024101400005747564
static,short_qa,46,3.8694560527801514,47.916315044474366,0.022942900002817623,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,4.0920090675354,True,In which country is the Great Wall?,static,0.022942900002817623
static,short_qa,47,3.458737850189209,31.776844055695168,0.02311819999886211,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,3.3678627014160156,False,In which country is the Taj Mahal?,static,0.02311819999886211
static,short_qa,48,3.8089685440063477,45.103892185087446,0.020926500001223758,12,0.0,deep,full,full,,False,12,1.0,85054464,16,deep,False,,,,4.277001857757568,True,What colour is the sky on a clear day?,static,0.020926500001223758
static,short_qa,49,3.935123920440674,51.16849038567208,0.023819399997591972,12,0.0,deep,full,full,,False,12,1.0,85054464,17,deep,False,,,,6.151067733764648,False,What colour do you get by mixing red and white?,static,0.023819399997591972
static,short_qa,50,4.004251480102539,54.830767114711506,0.020492399999056943,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.391092300415039,False,What is the opposite of hot?,static,0.020492399999056943
static,short_qa,51,4.339428901672363,76.66374429768992,0.020221299986587837,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.587540626525879,False,What is the opposite of ancient?,static,0.020221299986587837
static,short_qa,52,3.1230080127716064,22.714602798993674,0.023354299992206506,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,2.499600648880005,False,What is the first month of the year?,static,0.023354299992206506
static,short_qa,53,3.1968913078308105,24.456384530636157,0.021568700001807883,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,3.4692652225494385,False,What is the last month of the year?,static,0.021568700001807883
static,short_qa,54,5.056184768676758,156.99041753501047,0.019746699996176176,12,0.0,deep,full,full,,False,12,1.0,85054464,12,deep,False,,,,4.674829006195068,False,What season comes after winter?,static,0.019746699996176176
static,short_qa,55,5.143603801727295,171.33210401083795,0.020412099998793565,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,5.855125427246094,False,What organ pumps blood around the body?,static,0.020412099998793565
static,short_qa,56,4.293377876281738,73.21335694750536,0.022136700004921295,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,3.636991024017334,False,What organ is used for breathing?,static,0.022136700004921295
static,short_qa,57,4.73278284072876,113.6112849530611,0.0204544000007445,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,7.810631275177002,False,What is the hardest natural substance?,static,0.0204544000007445
static,short_qa,58,4.373003959655762,79.28143257352883,0.02168570000503678,12,0.0,deep,full,full,,False,12,1.0,85054464,11,deep,False,,,,3.484372615814209,True,What do bees produce?,static,0.02168570000503678
static,short_qa,59,4.773146629333496,118.29087449468783,0.022128800002974458,12,0.0,deep,full,full,,False,12,1.0,85054464,16,deep,False,,,,4.868103981018066,False,What is the young of a cat called?,static,0.022128800002974458
depth_adaptive,short_qa,0,6.196221828460693,490.8908631580639,0.01578430000517983,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,21.623825073242188,False,What is the capital of France?,depth_adaptive,0.01578430000517983
depth_adaptive,short_qa,1,6.218240261077881,501.8193834760032,0.016593699998338707,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,19.775514602661133,False,What is the capital of Japan?,depth_adaptive,0.016593699998338707
depth_adaptive,short_qa,2,5.8914475440979,361.9288132828052,0.01960319999489002,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,17.820035934448242,False,What is the capital of Italy?,depth_adaptive,0.01960319999489002
depth_adaptive,short_qa,3,6.2242913246154785,504.8651301597432,0.01536429999396205,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,20.232410430908203,False,What is the capital of Egypt?,depth_adaptive,0.01536429999396205
depth_adaptive,short_qa,4,6.082901477813721,438.2990665924738,0.0157556000049226,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,22.694795608520508,False,What is the capital of Canada?,depth_adaptive,0.0157556000049226
depth_adaptive,short_qa,5,6.0337042808532715,417.25781028849866,0.0166830999951344,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,18.870441436767578,False,What is the capital of Spain?,depth_adaptive,0.0166830999951344
depth_adaptive,short_qa,6,6.08888578414917,440.92984631829296,0.01843719999305904,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,19.59562873840332,False,What is the capital of Russia?,depth_adaptive,0.01843719999305904
depth_adaptive,short_qa,7,6.060016632080078,428.3825616931065,0.01815030000580009,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,20.35584831237793,False,What is the capital of Germany?,depth_adaptive,0.01815030000580009
depth_adaptive,short_qa,8,6.076718807220459,435.5975676868071,0.01613089999591466,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,20.161773681640625,False,What is the capital of China?,depth_adaptive,0.01613089999591466
depth_adaptive,short_qa,9,5.681847095489502,293.4910355378714,0.016215700001339428,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,15,medium,False,,,,6.964771747589111,False,What is the capital of Kenya?,depth_adaptive,0.016215700001339428
depth_adaptive,short_qa,10,4.575662136077881,97.09230617662672,0.01652079999621492,8,0.33333333333333337,medium,full,full,0.7095196152280409,False,8,0.6666666666666666,56702976,16,medium,False,,,,11.129070281982422,False,What is the largest planet in the solar system?,depth_adaptive,0.01652079999621492
depth_adaptive,short_qa,11,5.238168239593506,188.3248203157658,0.017458000002079643,8,0.33333333333333337,medium,full,full,0.7067797319011154,False,8,0.6666666666666666,56702976,15,medium,False,,,,15.875112533569336,False,What is the closest planet to the Sun?,depth_adaptive,0.017458000002079643
depth_adaptive,short_qa,12,6.25960636138916,523.0130214626752,0.017543299996759742,8,0.33333333333333337,medium,full,full,0.7067797319011154,False,8,0.6666666666666666,56702976,15,medium,False,,,,17.716642379760742,False,Which planet is known as the Red Planet?,depth_adaptive,0.017543299996759742
depth_adaptive,short_qa,13,6.5322442054748535,686.9381131921028,0.016436899997643195,8,0.33333333333333337,medium,full,full,0.7039857207770905,False,8,0.6666666666666666,56702976,14,medium,False,,,,11.592257499694824,True,What is the chemical symbol for oxygen?,depth_adaptive,0.016436899997643195
depth_adaptive,short_qa,14,6.775200843811035,875.8552554778254,0.01609380000445526,8,0.33333333333333337,medium,full,full,0.7039857207770905,False,8,0.6666666666666666,56702976,14,medium,False,,,,20.392637252807617,False,What is the chemical symbol for gold?,depth_adaptive,0.01609380000445526
depth_adaptive,short_qa,15,7.052154064178467,1155.3447510534759,0.01527459999488201,8,0.33333333333333337,medium,full,full,0.7039857207770905,False,8,0.6666666666666666,56702976,14,medium,False,,,,16.388643264770508,False,What is the chemical symbol for iron?,depth_adaptive,0.01527459999488201
depth_adaptive,short_qa,16,6.862976551055908,956.2090407836058,0.017024699991452508,8,0.33333333333333337,medium,full,full,0.8230328409537006,False,8,0.6666666666666666,56702976,15,medium,False,,,,12.910820960998535,False,What gas do plants absorb from the air?,depth_adaptive,0.017024699991452508
depth_adaptive,short_qa,17,6.039078235626221,419.5061707724887,0.018842299992684275,8,0.33333333333333337,medium,full,full,0.7095196152280409,False,8,0.6666666666666666,56702976,16,medium,False,,,,13.507411003112793,False,What is the freezing point of water in Celsius?,depth_adaptive,0.018842299992684275
depth_adaptive,short_qa,18,5.476884841918945,239.10070951946344,0.021001199987949803,8,0.33333333333333337,medium,full,full,0.7095196152280409,False,8,0.6666666666666666,56702976,16,medium,False,,,,12.00931453704834,False,What is the boiling point of water in Celsius?,depth_adaptive,0.021001199987949803
depth_adaptive,short_qa,19,4.405096054077148,81.86700612523367,0.01671189999615308,8,0.33333333333333337,medium,full,full,0.5440867421577419,False,8,0.6666666666666666,56702976,14,medium,False,,,,9.315535545349121,False,How many days are in a week?,depth_adaptive,0.01671189999615308
depth_adaptive,short_qa,20,5.161905765533447,174.49668870039136,0.01860619999933988,8,0.33333333333333337,medium,full,full,0.5440867421577419,False,8,0.6666666666666666,56702976,14,medium,False,,,,8.818711280822754,False,How many months are in a year?,depth_adaptive,0.01860619999933988
depth_adaptive,short_qa,21,4.388708114624023,80.53630806664685,0.019331399991642684,8,0.33333333333333337,medium,full,full,0.5440867421577419,False,8,0.6666666666666666,56702976,14,medium,False,,,,11.57248306274414,False,How many hours are in a day?,depth_adaptive,0.019331399991642684
depth_adaptive,short_qa,22,5.129706859588623,168.96757955859465,0.017334000003756955,8,0.33333333333333337,medium,full,full,0.5341666205181964,False,8,0.6666666666666666,56702976,12,medium,False,,,,11.64169692993164,False,How many continents are there?,depth_adaptive,0.017334000003756955
depth_adaptive,short_qa,23,5.879031658172607,357.46292775608237,0.01606579999497626,8,0.33333333333333337,medium,full,full,0.5440867421577419,False,8,0.6666666666666666,56702976,14,medium,False,,,,11.561415672302246,False,How many legs does a spider have?,depth_adaptive,0.01606579999497626
depth_adaptive,short_qa,24,6.004050254821777,405.0660964175865,0.015433099993970245,8,0.33333333333333337,medium,full,full,0.5440867421577419,False,8,0.6666666666666666,56702976,14,medium,False,,,,10.886232376098633,False,How many sides does a triangle have?,depth_adaptive,0.015433099993970245
depth_adaptive,short_qa,25,6.261750221252441,524.1354908659948,0.015510700002778322,8,0.33333333333333337,medium,full,full,0.5440867421577419,False,8,0.6666666666666666,56702976,15,medium,False,,,,11.793194770812988,False,How many sides does a hexagon have?,depth_adaptive,0.015510700002778322
depth_adaptive,short_qa,26,5.777772426605225,323.0387957222716,0.015875099998083897,8,0.33333333333333337,medium,full,full,0.5627790248888356,False,8,0.6666666666666666,56702976,18,medium,False,,,,10.672796249389648,False,How many players are on a soccer team on the field?,depth_adaptive,0.015875099998083897
depth_adaptive,short_qa,27,8.58526611328125,5352.216821796345,0.009932399989338592,4,0.6666666666666667,shallow,full,full,0.5698061885339285,False,4,0.3333333333333333,28351488,12,shallow,False,,,,9.119742393493652,False,What is 2 plus 2?,depth_adaptive,0.009932399989338592
depth_adaptive,short_qa,28,7.607961654663086,2014.1683399434855,0.009568800000124611,4,0.6666666666666667,shallow,full,full,0.5698061885339285,False,4,0.3333333333333333,28351488,12,shallow,False,,,,8.110210418701172,False,What is 5 times 6?,depth_adaptive,0.009568800000124611
depth_adaptive,short_qa,29,7.681005001068115,2166.796310558917,0.012510200001997873,4,0.6666666666666667,shallow,full,full,0.8266965061437526,False,4,0.3333333333333333,28351488,13,shallow,False,,,,8.717949867248535,False,What is 100 divided by 4?,depth_adaptive,0.012510200001997873
depth_adaptive,short_qa,30,5.31929349899292,204.23953557095945,0.017232199999853037,8,0.33333333333333337,medium,full,full,0.5561725490132504,False,8,0.6666666666666666,56702976,14,medium,False,,,,14.82314682006836,False,What is the square root of 81?,depth_adaptive,0.017232199999853037
depth_adaptive,short_qa,31,8.763653755187988,6397.443620066433,0.009887199994409457,4,0.6666666666666667,shallow,full,full,0.5813507912075115,False,4,0.3333333333333333,28351488,11,shallow,False,,,,7.8409013748168945,False,What is 7 squared?,depth_adaptive,0.009887199994409457
depth_adaptive,short_qa,32,6.249661445617676,517.8374788401745,0.01743910000368487,8,0.33333333333333337,medium,full,full,0.7039857207770905,False,8,0.6666666666666666,56702976,14,medium,False,,,,13.346199989318848,False,Who wrote the play Romeo and Juliet?,depth_adaptive,0.01743910000368487
depth_adaptive,short_qa,33,5.391242980957031,219.4760205928939,0.018154399993363768,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,14.161483764648438,False,Who developed the theory of relativity?,depth_adaptive,0.018154399993363768
depth_adaptive,short_qa,34,4.737931251525879,114.1977108044576,0.018165500005125068,8,0.33333333333333337,medium,full,full,0.7419083093084068,False,8,0.6666666666666666,56702976,17,medium,False,,,,20.14840316772461,False,Who was the first person to walk on the Moon?,depth_adaptive,0.018165500005125068
depth_adaptive,short_qa,35,6.132169723510742,460.43409234584857,0.015947699997923337,8,0.33333333333333337,medium,full,full,0.6982331940972664,False,8,0.6666666666666666,56702976,13,medium,False,,,,12.920144081115723,False,Who painted the Mona Lisa?,depth_adaptive,0.015947699997923337
depth_adaptive,short_qa,36,5.542572021484375,255.33387985242166,0.018708200004766695,8,0.33333333333333337,medium,full,full,0.7039857207770905,False,8,0.6666666666666666,56702976,14,medium,False,,,,19.824254989624023,False,What is the largest ocean on Earth?,depth_adaptive,0.018708200004766695
depth_adaptive,short_qa,37,5.432893753051758,228.81040916012412,0.01586509999469854,8,0.33333333333333337,medium,full,full,0.7039857207770905,False,8,0.6666666666666666,56702976,14,medium,False,,,,18.522523880004883,False,What is the longest river in Africa?,depth_adaptive,0.01586509999469854
depth_adaptive,short_qa,38,4.218491077423096,67.93090444097774,0.017182499999762513,8,0.33333333333333337,medium,full,full,0.7067797319011154,False,8,0.6666666666666666,56702976,15,medium,False,,,,15.346129417419434,False,What is the tallest mountain in the world?,depth_adaptive,0.017182499999762513
depth_adaptive,short_qa,39,4.9239630699157715,137.54664142009474,0.018408000003546476,8,0.33333333333333337,medium,full,full,0.7067797319011154,False,8,0.6666666666666666,56702976,15,medium,False,,,,17.27243995666504,False,What is the largest desert in the world?,depth_adaptive,0.018408000003546476
depth_adaptive,short_qa,40,6.302401542663574,545.8812944433186,0.020225400003255345,8,0.33333333333333337,medium,full,full,0.8223014197185884,False,8,0.6666666666666666,56702976,14,medium,False,,,,18.178558349609375,False,What language is primarily spoken in Brazil?,depth_adaptive,0.020225400003255345
depth_adaptive,short_qa,41,6.321590900421143,556.4575571997177,0.05316250000032596,8,0.33333333333333337,medium,full,full,0.8223014197185884,False,8,0.6666666666666666,56702976,14,medium,False,,,,15.967897415161133,False,What language is primarily spoken in Austria?,depth_adaptive,0.05316250000032596
depth_adaptive,short_qa,42,5.655001163482666,285.7168151528814,0.05078759999014437,8,0.33333333333333337,medium,full,full,0.8215540695344039,False,8,0.6666666666666666,56702976,13,medium,False,,,,13.490099906921387,False,What currency is used in Japan?,depth_adaptive,0.05078759999014437
depth_adaptive,short_qa,43,4.960556983947754,142.6732404749765,0.05243049999990035,8,0.33333333333333337,medium,full,full,0.8230328409537006,False,8,0.6666666666666666,56702976,15,medium,False,,,,16.329988479614258,False,What currency is used in the United Kingdom?,depth_adaptive,0.05243049999990035
depth_adaptive,short_qa,44,5.349747180938721,210.55505880471856,0.05440350000571925,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,14,medium,False,,,,7.690478324890137,False,What is the currency of India?,depth_adaptive,0.05440350000571925
depth_adaptive,short_qa,45,6.773972034454346,874.7796573326647,0.056221099992399104,8,0.33333333333333337,medium,full,full,0.7039857207770905,False,8,0.6666666666666666,56702976,16,medium,False,,,,16.33384132385254,False,In which country is the Eiffel Tower?,depth_adaptive,0.056221099992399104
depth_adaptive,short_qa,46,7.1461381912231445,1269.1950901271978,0.048687700007576495,8,0.33333333333333337,medium,full,full,0.7039857207770905,False,8,0.6666666666666666,56702976,14,medium,False,,,,15.48669719696045,False,In which country is the Great Wall?,depth_adaptive,0.048687700007576495
depth_adaptive,short_qa,47,7.399970054626465,1635.9354405645797,0.05171070000506006,8,0.33333333333333337,medium,full,full,0.7039857207770905,False,8,0.6666666666666666,56702976,15,medium,False,,,,15.304851531982422,False,In which country is the Taj Mahal?,depth_adaptive,0.05171070000506006
depth_adaptive,short_qa,48,5.308745384216309,202.09651578697515,0.05132020000019111,8,0.33333333333333337,medium,full,full,0.8237485258742852,False,8,0.6666666666666666,56702976,16,medium,False,,,,12.555344581604004,False,What colour is the sky on a clear day?,depth_adaptive,0.05132020000019111
depth_adaptive,short_qa,49,6.026857376098633,414.4106440642488,0.059455099995830096,8,0.33333333333333337,medium,full,full,0.8244486659311875,False,8,0.6666666666666666,56702976,17,medium,False,,,,17.715429306030273,False,What colour do you get by mixing red and white?,depth_adaptive,0.059455099995830096
depth_adaptive,short_qa,50,6.460846424102783,639.6022022380439,0.05310340000141878,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,15.633606910705566,False,What is the opposite of hot?,depth_adaptive,0.05310340000141878
depth_adaptive,short_qa,51,6.1091532707214355,449.95756158193996,0.04935630000545643,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,13.900816917419434,False,What is the opposite of ancient?,depth_adaptive,0.04935630000545643
depth_adaptive,short_qa,52,3.9262123107910156,50.714522569363695,0.05311269999947399,8,0.33333333333333337,medium,full,full,0.7450160830335456,False,8,0.6666666666666666,56702976,15,medium,False,,,,10.873320579528809,False,What is the first month of the year?,depth_adaptive,0.05311269999947399
depth_adaptive,short_qa,53,3.3246607780456543,27.789570211277116,0.051645599989569746,8,0.33333333333333337,medium,full,full,0.7067797319011154,False,8,0.6666666666666666,56702976,15,medium,False,,,,8.617897987365723,False,What is the last month of the year?,depth_adaptive,0.051645599989569746
depth_adaptive,short_qa,54,6.864261150360107,957.438175555876,0.056157200000598095,8,0.33333333333333337,medium,full,full,0.8163692909094903,False,8,0.6666666666666666,56702976,12,medium,False,,,,13.60142707824707,False,What season comes after winter?,depth_adaptive,0.056157200000598095
depth_adaptive,short_qa,55,6.879974842071533,972.6018908352952,0.04740519999177195,8,0.33333333333333337,medium,full,full,0.8223014197185884,False,8,0.6666666666666666,56702976,14,medium,False,,,,12.71015739440918,False,What organ pumps blood around the body?,depth_adaptive,0.04740519999177195
